Timestamp,Title,Journal,Publication Year,Authors,Field,Link
,State of the climate in 2016,Bulletin of the American Meteorological Society,2017,"Aaron-Morrison, A.P., Ackerman, S.A., Adams, N.G., Adler, R.F., Albanil, A., Alfaro, E.J., Allan, R., Alves, L.M., Amador, J.A., Andreassen, L.M., Arendt, A., Arévalo, J., Arndt, D.S., Arzhanova, N.M., Aschan, M.M., Azorin-Molina, C., Banzon, V., Bardin, M.U., Barichivich, J., Baringer, M.O., Barreira, S., Baxter, S., Bazo, J., Becker, A., Bedka, K.M., Behrenfeld, M.J., Bell, G.D., Belmont, M., Benedetti, A., Bernhard, G., Berrisford, P., Berry, D.I., Bettolli, M.L., Bhatt, U.S., Bidegain, M., Bill, B.D., Billheimer, S., Bissolli, P., Blake, E.S., Blunden, J., Bosilovich, M.G., Boucher, O., Boudet, D., Box, J.E., Boyer, T., Braathen, G.O., Bromwich, D.H., Brown, R., Bulygina, O.N., Burgess, D., Calderón, B., Camargo, S.J., Campbell, J.D., Cappelen, J., Carrasco, G., Carter, B.R., Chambers, D.P., Chandler, E., Christiansen, H.H., Christy, J.R., Chung, D., Chung, E.-S., Cinque, K., Clem, K.R., Coelho, C.A., Cogley, J.G., Coldewey-Egbers, M., Colwell, S., Cooper, O.R., Copland, L., Cosca, C.E., Cross, J.N., Crotwell, M.J., Crouch, J., Davis, S.M., De Eyto, E., De Jeu, R.A.M., De Laat, J., Degasperi, C.L., Degenstein, D., Demircan, M., Derksen, C., Destin, D., Di Girolamo, L., Di Giuseppe, F., Diamond, H.J., Dlugokencky, E.J., Dohan, K., Dokulil, M.T., Dolgov, A.V., Dolman, A.J., Domingues, C.M., Donat, M.G., Dong, S., Dorigo, W.A., Dortch, Q., Doucette, G., Drozdov, D.S., Ducklow, H., Dunn, R.J.H., Durán-Quesada, A.M., Dutton, G.S., Ebrahim, A., Elkharrim, M., Elkins, J.W., Espinoza, J.C., Etienne-Leblanc, S., Evans, T.E., Famiglietti, J.S., Farrell, S., Fateh, S., Fausto, R.S., Fedaeff, N., Feely, R.A., Feng, Z., Fenimore, C., Fettweis, X., Fioletov, V.E., Flemming, J., Fogarty, C.T., Fogt, R.L., Folland, C., Fonseca, C., Fossheim, M., Foster, M.J., Fountain, A., Francis, S.D., Franz, B.A., Frey, R.A., Frith, S.M., Froidevaux, L., Ganter, C., Garzoli, S., Gerland, S., Gobron, N., Goldenberg, S.B., Gomez, R.S., Goni, G., Goto, A., Grooß, J.-U., Gruber, A., Guard, C.C., Gugliemin, M., Gupta, S.K., Gutiérrez, J.M., Hagos, S., Hahn, S., Haimberger, L., Hakkarainen, J., Hall, B.D., Halpert, M.S., Hamlington, B.D., Hanna, E., Hansen, K., Hanssen-Bauer, I., Harris, I., Heidinger, A.K., Heikkilä, A., Heil, A., Heim, R.R., Hendricks, S., Hernández, M., Hidalgo, H.G., Hilburn, K., Ho, S.-P.B., Holmes, R.M., Hu, Z.-Z., Huang, B., Huelsing, H.K., Huffman, G.J., Hughes, C., Hurst, D.F., Ialongo, I., Ijampy, J.A., Ingvaldsen, R.B., Inness, A., Isaksen, K., Ishii, M., Jevrejeva, S., Jiménez, C., Jin, X., Johannesen, E., John, V., Johnsen, B., Johnson, B., Johnson, G.C., Jones, P.D., Joseph, A.C., Jumaux, G., Kabidi, K., Kaiser, J.W., Kato, S., Kazemi, A., Keller, L.M., Kendon, M., Kennedy, J., Kerr, K., Kholodov, A.L., Khoshkam, M., Killick, R., Kim, H., Kim, S.-J., Kimberlain, T.B., Klotzbach, P.J., Knaff, J.A., Kobayashi, S., Kohler, J., Korhonen, J., Korshunova, N.N., Kovacs, K.M., Kramarova, N., Kratz, D.P., Kruger, A., Kruk, M.C., Kudela, R., Kumar, A., Lakatos, M., Lakkala, K., Lander, M.A., Landsea, C.W., Lankhorst, M., Lantz, K., Lazzara, M.A., Lemons, P., Leuliette, E., L’Heureux, M., Lieser, J.L., Lin, I.-I., Liu, H., Liu, Y., Locarnini, R., Loeb, N.G., Lo Monaco, C., Long, C.S., López Álvarez, L.A., Lorrey, A.M., Loyola, D., Lumpkin, R., Luo, J.-J., Luojus, K., Lydersen, C., Lyman, J.M., Maberly, S.C., Maddux, B.C., Malheiros Ramos, A., Malkova, G.V., Manney, G., Marcellin, V., Marchenko, S.S., Marengo, J.A., Marra, J.J., Marszelewski, W., Martens, B., Martínez-Güingla, R., Massom, R.A., Mata, M.M., Mathis, J.T., May, L., Mayer, M., Mazloff, M., McBride, C., McCabe, M.F., McCarthy, M., McClelland, J.W., McGree, S., McVicar, T.R., Mears, C.A., Meier, W., Meinen, C.S., Mekonnen, A., Menéndez, M., Mengistu Tsidu, G., Menzel, W.P., Merchant, C.J., Meredith, M.P., Merrifield, M.A., Metzl, N., Minnis, P., Miralles, D.G., Mistelbauer, T., Mitchum, G.T., Monselesan, D., Monteiro, P., Montzka, S.A., Morice, C., Mote, T., Mudryk, L., Mühle, J., Mullan, A.B., Nash, E.R., Naveira-Garabato, A.C., Nerem, R.S., Newman, P.A., Nieto, J.J., Noetzli, J., O’Neel, S., Osborn, T.J., Overland, J., Oyunjargal, L., Parinussa, R.M., Park, E.-H., Parker, D., Parrington, M., Parsons, A.R., Pasch, R.J., Pascual-Ramírez, R., Paterson, A.M., Paulik, C., Pearce, P.R., Pelto, M.S., Peng, L., Perkins-Kirkpatrick, S.E., Perovich, D., Petropavlovskikh, I., Pezza, A.B., Phillips, D., Pinty, B., Pitts, M.C., Pons, M.R., Porter, A.O., Primicerio, R., Proshutinsky, A., Quegan, S., Quintana, J., Rahimzadeh, F., Rajeevan, M., Randriamarolaza, L., Razuvaev, V.N., Reagan, J., Reid, P., Reimer, C., Rémy, S., Renwick, J.A., Revadekar, J.V., Richter-Menge, J., Riffler, M., Rimmer, A., Rintoul, S., Robinson, D.A., Rodell, M., Rodríguez Solís, J.L., Romanovsky, V.E., Ronchail, J., Rosenlof, K.H., Roth, C., Rusak, J.A., Sabine, C.L., Sallée, J.-B., Sánchez-Lugo, A., Santee, M.L., Sawaengphokhai, P., Sayouri, A., Scambos, T.A., Schemm, J., Schladow, S.G., Schmid, C., Schmid, M., Schmidtko, S., Schreck, C.J., Selkirk, H.B., Send, U., Sensoy, S., Setzer, A., Sharp, M., Shaw, A., Shi, L., Shiklomanov, A.I., Shiklomanov, N.I., Siegel, D.A., Signorini, S.R., Sima, F., Simmons, A.J., Smeets, C.J.P.P., Smith, S.L., Spence, J.M., Srivastava, A.K., Stackhouse, P.W., Stammerjohn, S., Steinbrecht, W., Stella, J.L., Stengel, M., Stennett-Brown, R., Stephenson, T.S., Strahan, S., Streletskiy, D.A., Sun-Mack, S., Swart, S., Sweet, W., Talley, L.D., Tamar, G., Tank, S.E., Taylor, M.A., Tedesco, M., Teubner, K., Thoman, R.L., Thompson, P., Thomson, L., Timmermans, M.-L., Timofeev, M.A., Tirnanes, J.A., Tobin, S., Trachte, K., Trainer, V.L., Tretiakov, M., Trewin, B.C., Trotman, A.R., Tschudi, M., Van As, D., Van De Wal, R.S.W., van der A., R.J., Van Der Schalie, R., Van Der Schrier, G., Van Der Werf, G.R., Van Meerbeeck, C.J., Velicogna, I., Verburg, P., Vigneswaran, B., Vincent, L.A., Volkov, D., Vose, R.S., Wagner, W., Wåhlin, A., Wahr, J., Walsh, J., Wang, C., Wang, J., Wang, L., Wang, M., Wang, S.-H., Wanninkhof, R., Watanabe, S., Weber, M., Weller, R.A., Weyhenmeyer, G.A., Whitewood, R., Wijffels, S.E., Wilber, A.C., Wild, J.D., Willett, K.M., Williams, M.J.M., Willie, S., Wolken, G., Wong, T., Wood, E.F., Woolway, R.I., Wouters, B., Xue, Y., Yamada, R., Yim, S.-Y., Yin, X., Young, S.H., Yu, L., Zahid, H., Zambrano, E., Zhang, P., Zhao, G., Zhou, L., Ziemke, J.R., Love-Brotak, S.E., Gilbert, K., Maycock, T., Osborne, S., Sprain, M., Veasey, S.W., Ambrose, B.J., Griffin, J., Misch, D.J., Riddle, D.B., Young, T., Romanovsky, V.E.",9.116,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028835793&doi=10.1175%2f2017BAMSStateoftheClimate.1&partnerID=40&md5=1b5f43a86e3f86d1ecef1e5dd5d2127f
,Assessment of chlorophyll-a algorithms considering different trophic statuses and optimal bands,Sensors (Switzerland),2017,"Salem, S.I., Higa, H., Kim, H., Kobayashi, H., Oki, K., Oki, T.",3.5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026778401&doi=10.3390%2fs17081746&partnerID=40&md5=c52c6faa965b370956a4c83a02b1b854
,Modeling Surface runoff and water fluxes over contrasted soils in the pastoral sahel: Evaluation of the ALMIP2 land surface models over the Gourma Region in Mali,Journal of Hydrometeorology,2017,"Grippa, M., Kergoat, L., Boone, A., Peugeot, C., Demarty, J., Cappelaere, B., Gal, L., Hiernaux, P., Mougin, E., Ducharne, A., Dutra, E., Anderson, M., Hain, C., Ait-Mesbah, S., Polcher, J., Balsamo, G., Boussetta, S., Pappenberger, F., Favot, F., Guichard, F., Kaptue, A., Roujean, J.-L., Chaffard, V., Cohard, J.M., Gascon, T., Galle, S., Hector, B., Lebel, T., Séguis, L., Velluet, C., Quantin, G., Vischel, T., Verseghy, D., Magand, C., Getirana, A., Pierre, C., Gusev, Y., Nasonova, O., Harris, P., He, X., Yorozu, K., Kotsuki, S., Tanaka, K., Kim, H., Oki, T., Kumar, S., Lo, M.-H., Mahanama, S., Maignan, F., Ottlé, C., Mamadou, O., Shmakin, A., Sokratov, V., Turkov, D.",4.871,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85023192221&doi=10.1175%2fJHM-D-16-0170.1&partnerID=40&md5=89eb0a6cfd49fa1eaeb0dcdfab7ba783
,Streamflows over a West African basin from the ALMIP2 model ensemble,Journal of Hydrometeorology,2017,"Getirana, A., Boone, A., Peugeot, C., Ait-Mesbah, S., Polcher, J., Anderson, M., Balsamo, G., Boussetta, S., Dutra, E., Pappenberger, F., Hain, C., Boone, A., Favot, F., Guichard, F., Kaptue, A., Roujean, J.-L., Cappelaere, B., Demarty, J., Peugeot, C., Séguis, L., Velluet, C., Chaffard, V., Cohard, J.M., Gascon, T., Galle, S., Hector, B., Lebel, T., Pellarin, T., Richard, A., Quantin, G., Vischel, T., Chan, E., Verseghy, D., Ducharne, A., Magand, C., Getirana, A., Grippa, M., Hiernaux, P., Kergoat, L., Mougin, E., Pierre, C., Gusev, Y., Nasonova, O., Harris, P., He, X., Yorozu, K., Kotsuki, S., Tanaka, K., Kenkyusho, R., Kim, H., Oki, T., Kumar, S., Lo, M.-H., Mahanama, S., Maignan, F., Ottlé, C., Mamadou, O., Shmakin, A., Sokratov, V., Turkov, D.",4.871,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85023170760&doi=10.1175%2fJHM-D-16-0233.1&partnerID=40&md5=f35053d0c4692930b2d2704856924db0
,Evapotranspiration seasonality across the Amazon Basin,Earth System Dynamics,2017,"Maeda, E.E., Ma, X., Wagner, F.H., Kim, H., Oki, T., Eamus, D., Huete, A.",5.458,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021628376&doi=10.5194%2fesd-8-439-2017&partnerID=40&md5=743b4a0ba53200a9ea67a5cceb05ec49
,The critical role of the routing scheme in simulating peak river discharge in global hydrological models,Environmental Research Letters,2017,"Zhao, F., Veldkamp, T.I.E., Frieler, K., Schewe, J., Ostberg, S., Willner, S., Schauberger, B., Gosling, S.N., Schmied, H.M., Portmann, F.T., Leng, G., Huang, M., Liu, X., Tang, Q., Hanasaki, N., Biemans, H., Gerten, D., Satoh, Y., Pokhrel, Y., Stacke, T., Ciais, P., Chang, J., Ducharne, A., Guimberteau, M., Wada, Y., Kim, H., Yamazaki, D.",6.947,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85025628704&doi=10.1088%2f1748-9326%2faa7250&partnerID=40&md5=d1c7ad8a915e25760886dc3ab2886a23
,Water scarcity hotspots travel downstream due to human interventions in the 20th and 21st century,Nature Communications,2017,"Veldkamp, T.I.E., Wada, Y., Aerts, J.C.J.H., Döll, P., Gosling, S.N., Liu, J., Masaki, Y., Oki, T., Ostberg, S., Pokhrel, Y., Satoh, Y., Kim, H., Ward, P.J.",17.694,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020854895&doi=10.1038%2fncomms15697&partnerID=40&md5=2061a8b482dd24e0ff16d6ecd3159d39
,Multi-algorithm indices and look-up table for chlorophyll-a retrieval in highly turbid water bodies using multispectral data,Remote Sensing,2017,"Salem, S.I., Higa, H., Kim, H., Kazuhiro, K., Kobayashi, H., Oki, K., Oki, T.",5.349,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021164224&doi=10.3390%2frs9060556&partnerID=40&md5=918831278ad7ae0b4bdcd54c270115b3
,Relative contributions of weather systems to mean and extreme global precipitation,Journal of Geophysical Research,2017,"Utsumi, N., Kim, H., Kanae, S., Oki, T.",5.576,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010674297&doi=10.1002%2f2016JD025222&partnerID=40&md5=a27624c973b286e6894dc39965804cfa
,Impact of climate forcing uncertainty and human water use on global and continental water balance components,Proceedings of the International Association of Hydrological Sciences,2016,"Schmied, H.M., Adam, L., Eisner, S., Fink, G., Flörke, M., Kim, H., Oki, T., Portmann, F.T., Reinecke, R., Riedel, C., Song, Q., Zhang, J., Döll, P.",0.74,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85036637415&doi=10.5194%2fpiahs-374-53-2016&partnerID=40&md5=8d4aaf69c68afcb4975060b4665cdeea
,Macroscale Hydrological Modeling and Global Water Balance,Terrestrial Water Cycle and Climate Change: Natural and Human-Induced Impacts,2016,"Oki, T., Kim, H.",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019791437&doi=10.1002%2f9781118971772.ch1&partnerID=40&md5=c792e97a11e0c8c7c709b73b3e534bfe
,"LS3MIP (v1.0) contribution to CMIP6: The Land Surface, Snow and Soil moisture Model Intercomparison Project - Aims, setup and expected outcome",Geoscientific Model Development,2016,"Van Den Hurk, B., Kim, H., Krinner, G., Seneviratne, S.I., Derksen, C., Oki, T., Douville, H., Colin, J., Ducharne, A., Cheruy, F., Viovy, N., Puma, M.J., Wada, Y., Li, W., Jia, B., Alessandri, A., Lawrence, D.M., Weedon, G.P., Ellis, R., Hagemann, S., Mao, J., Flanner, M.G., Zampieri, M., Materia, S., Law, R.M., Sheffield, J.",6.892,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984832799&doi=10.5194%2fgmd-9-2809-2016&partnerID=40&md5=5ea2ae2cfa21cf32bc251aa50ad236e7
,State of the climate in 2015,Bulletin of the American Meteorological Society,2016,"Aaron-Morrison, A.P., Ackerman, S.A., Adams, N.G., Adler, R.F., Albanil, A., Alfaro, E.J., Allan, R., Alves, L.M., Amador, J.A., Andreassen, L.M., Arendt, A., Arévalo, J., Arndt, D.S., Arzhanova, N.M., Aschan, M.M., Azorin-Molina, C., Banzon, V., Bardin, M.U., Barichivich, J., Baringer, M.O., Barreira, S., Baxter, S., Bazo, J., Becker, A., Bedka, K.M., Behrenfeld, M.J., Bell, G.D., Belmont, M., Benedetti, A., Bernhard, G., Berrisford, P., Berry, D.I., Bettolli, M.L., Bhatt, U.S., Bidegain, M., Bill, B.D., Billheimer, S., Bissolli, P., Blake, E.S., Blunden, J., Bosilovich, M.G., Boucher, O., Boudet, D., Box, J.E., Boyer, T., Braathen, G.O., Bromwich, D.H., Brown, R., Bulygina, O.N., Burgess, D., Calderón, B., Camargo, S.J., Campbell, J.D., Cappelen, J., Carrasco, G., Carter, B.R., Chambers, D.P., Chandler, E., Christiansen, H.H., Christy, J.R., Chung, D., Chung, E.-S., Cinque, K., Clem, K.R., Coelho, C.A., Cogley, J.G., Coldewey-Egbers, M., Colwell, S., Cooper, O.R., Copland, L., Cosca, C.E., Cross, J.N., Crotwell, M.J., Crouch, J., Davis, S.M., De Eyto, E., De Jeu, R.A.M., De Laat, J., Degasperi, C.L., Degenstein, D., Demircan, M., Derksen, C., Destin, D., Di Girolamo, L., Di Giuseppe, F., Diamond, H.J., Dlugokencky, E.J., Dohan, K., Dokulil, M.T., Dolgov, A.V., Dolman, A.J., Domingues, C.M., Donat, M.G., Dong, S., Dorigo, W.A., Dortch, Q., Doucette, G., Drozdov, D.S., Ducklow, H., Dunn, R.J.H., Durán-Quesada, A.M., Dutton, G.S., Ebrahim, A., Elkharrim, M., Elkins, J.W., Espinoza, J.C., Etienne-Leblanc, S., Evans, T.E., Famiglietti, J.S., Farrell, S., Fateh, S., Fausto, R.S., Fedaeff, N., Feely, R.A., Feng, Z., Fenimore, C., Fettweis, X., Fioletov, V.E., Flemming, J., Fogarty, C.T., Fogt, R.L., Folland, C., Fonseca, C., Fossheim, M., Foster, M.J., Fountain, A., Francis, S.D., Franz, B.A., Frey, R.A., Frith, S.M., Froidevaux, L., Ganter, C., Garzoli, S., Gerland, S., Gobron, N., Goldenberg, S.B., Gomez, R.S., Goni, G., Goto, A., Grooß, J.-U., Gruber, A., Guard, C.C., Gugliemin, M., Gupta, S.K., Gutiérrez, J.M., Hagos, S., Hahn, S., Haimberger, L., Hakkarainen, J., Hall, B.D., Halpert, M.S., Hamlington, B.D., Hanna, E., Hansen, K., Hanssen-Bauer, I., Harris, I., Heidinger, A.K., Heikkilä, A., Heil, A., Heim, R.R., Hendricks, S., Hernández, M., Hidalgo, H.G., Hilburn, K., Ho, S.-P.B., Holmes, R.M., Hu, Z.-Z., Huang, B., Huelsing, H.K., Huffman, G.J., Hughes, C., Hurst, D.F., Ialongo, I., Ijampy, J.A., Ingvaldsen, R.B., Inness, A., Isaksen, K., Ishii, M., Jevrejeva, S., Jiménez, C., Jin, X., Johannesen, E., John, V., Johnsen, B., Johnson, B., Johnson, G.C., Jones, P.D., Joseph, A.C., Jumaux, G., Kabidi, K., Kaiser, J.W., Kato, S., Kazemi, A., Keller, L.M., Kendon, M., Kennedy, J., Kerr, K., Kholodov, A.L., Khoshkam, M., Killick, R., Kim, H., Kim, S.-J., Kimberlain, T.B., Klotzbach, P.J., Knaff, J.A., Kobayashi, S., Kohler, J., Korhonen, J., Korshunova, N.N., Kovacs, K.M., Kramarova, N., Kratz, D.P., Kruger, A., Kruk, M.C., Kudela, R., Kumar, A., Lakatos, M., Lakkala, K., Lander, M.A., Landsea, C.W., Lankhorst, M., Lantz, K., Lazzara, M.A., Lemons, P., Leuliette, E., L’Heureux, M., Lieser, J.L., Lin, I.-I., Liu, H., Liu, Y., Locarnini, R., Loeb, N.G., Lo Monaco, C., Long, C.S., López Álvarez, L.A., Lorrey, A.M., Loyola, D., Lumpkin, R., Luo, J.-J., Luojus, K., Lydersen, C., Lyman, J.M., Maberly, S.C., Maddux, B.C., Malheiros Ramos, A., Malkova, G.V., Manney, G., Marcellin, V., Marchenko, S.S., Marengo, J.A., Marra, J.J., Marszelewski, W., Martens, B., Martínez-Güingla, R., Massom, R.A., Mata, M.M., Mathis, J.T., May, L., Mayer, M., Mazloff, M., McBride, C., McCabe, M.F., McCarthy, M., McClelland, J.W., McGree, S., McVicar, T.R., Mears, C.A., Meier, W., Meinen, C.S., Mekonnen, A., Menéndez, M., Mengistu Tsidu, G., Menzel, W.P., Merchant, C.J., Meredith, M.P., Merrifield, M.A., Metzl, N., Minnis, P., Miralles, D.G., Mistelbauer, T., Mitchum, G.T., Monselesan, D., Monteiro, P., Montzka, S.A., Morice, C., Mote, T., Mudryk, L., Mühle, J., Mullan, A.B., Nash, E.R., Naveira-Garabato, A.C., Nerem, R.S., Newman, P.A., Nieto, J.J., Noetzli, J., O’Neel, S., Osborn, T.J., Overland, J., Oyunjargal, L., Parinussa, R.M., Park, E.-H., Parker, D., Parrington, M., Parsons, A.R., Pasch, R.J., Pascual-Ramírez, R., Paterson, A.M., Paulik, C., Pearce, P.R., Pelto, M.S., Peng, L., Perkins-Kirkpatrick, S.E., Perovich, D., Petropavlovskikh, I., Pezza, A.B., Phillips, D., Pinty, B., Pitts, M.C., Pons, M.R., Porter, A.O., Primicerio, R., Proshutinsky, A., Quegan, S., Quintana, J., Rahimzadeh, F., Rajeevan, M., Randriamarolaza, L., Razuvaev, V.N., Reagan, J., Reid, P., Reimer, C., Rémy, S., Renwick, J.A., Revadekar, J.V., Richter-Menge, J., Riffler, M., Rimmer, A., Rintoul, S., Robinson, D.A., Rodell, M., Rodríguez Solís, J.L., Romanovsky, V.E., Ronchail, J., Rosenlof, K.H., Roth, C., Rusak, J.A., Sabine, C.L., Sallée, J.-B., Sánchez-Lugo, A., Santee, M.L., Sawaengphokhai, P., Sayouri, A., Scambos, T.A., Schemm, J., Schladow, S.G., Schmid, C., Schmid, M., Schmidtko, S., Schreck, C.J., Selkirk, H.B., Send, U., Sensoy, S., Setzer, A., Sharp, M., Shaw, A., Shi, L., Shiklomanov, A.I., Shiklomanov, N.I., Siegel, D.A., Signorini, S.R., Sima, F., Simmons, A.J., Smeets, C.J.P.P., Smith, S.L., Spence, J.M., Srivastava, A.K., Stackhouse, P.W., Stammerjohn, S., Steinbrecht, W., Stella, J.L., Stengel, M., Stennett-Brown, R., Stephenson, T.S., Strahan, S., Streletskiy, D.A., Sun-Mack, S., Swart, S., Sweet, W., Talley, L.D., Tamar, G., Tank, S.E., Taylor, M.A., Tedesco, M., Teubner, K., Thoman, R.L., Thompson, P., Thomson, L., Timmermans, M.-L., Tirnanes, J.A., Tobin, S., Trachte, K., Trainer, V.L., Tretiakov, M., Trewin, B.C., Trotman, A.R., Tschudi, M., Van As, D., Van De Wal, R.S.W., van der A., R.J., Van Der Schalie, R., Van Der Schrier, G., Van Der Werf, G.R., Van Meerbeeck, C.J., Velicogna, I., Verburg, P., Vigneswaran, B., Vincent, L.A., Volkov, D., Vose, R.S., Wagner, W., Wåhlin, A., Wahr, J., Walsh, J., Wang, C., Wang, J., Wang, L., Wang, M., Wang, S.-H., Wanninkhof, R., Watanabe, S., Weber, M., Weller, R.A., Weyhenmeyer, G.A., Whitewood, R., Wijffels, S.E., Wilber, A.C., Wild, J.D., Willett, K.M., Williams, M.J.M., Willie, S., Wolken, G., Wong, T., Wood, E.F., Woolway, R.I., Wouters, B., Xue, Y., Yamada, R., Yim, S.-Y., Yin, X., Young, S.H., Yu, L., Zahid, H., Zambrano, E., Zhang, P., Zhao, G., Zhou, L., Ziemke, J.R., Love-Brotak, S.E., Gilbert, K., Maycock, T., Osborne, S., Sprain, M., Veasey, S.W., Ambrose, B.J., Griffin, J., Misch, D.J., Riddle, D.B., Young, T.",9.116,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84986201515&doi=10.1175%2f2016BAMSStateoftheClimate.1&partnerID=40&md5=a8177319a39c61e4de4a1ab6d775c0a7
,Variations of global and continental water balance components as impacted by climate forcing uncertainty and human water use,Hydrology and Earth System Sciences,2016,"Muller Schmied, H., Adam, L., Eisner, S., Fink, G., Florke, M., Kim, H., Oki, T., Theodor Portmann, F., Reinecke, R., Riedel, C., Song, Q., Zhang, J., Doll, P.",6.617,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978865125&doi=10.5194%2fhess-20-2877-2016&partnerID=40&md5=576aad1427d5d7f0525e99312db5fb5a
,Recent progresses in incorporating human land–water management into global land surface models toward their integration into Earth system models,Wiley Interdisciplinary Reviews: Water,2016,"Pokhrel, Y.N., Hanasaki, N., Wada, Y., Kim, H.",7.428,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010783001&doi=10.1002%2fwat2.1150&partnerID=40&md5=de29db4b727f42415c838272a43993e5
,Variations of global and continental water balance components as impacted by climate forcing uncertainty and human water use,Hydrology and Earth System Sciences Discussions,2016,"Müller Schmied, H., Adam, L., Eisner, S., Fink, G., Flörke, M., Kim, H., Oki, T., Portmann, F.T., Reinecke, R., Riedel, C., Song, Q., Zhang, J., Döll, P.",6.617,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042815206&doi=10.5194%2fhess-2015-527&partnerID=40&md5=b3b4192f958d516290052a27ab90acfc
,Which weather systems are projected to cause future changes in mean and extreme precipitation in CMIP5 simulations?,Journal of Geophysical Research,2016,"Utsumi, N., Kim, H., Kanae, S., Oki, T.",5.576,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988893696&doi=10.1002%2f2016JD024939&partnerID=40&md5=4a7b7d58e091f326e9b377d3f137800e
,Development of a web application for examining climate data of global lake basins: CGLB,Hydrological Research Letters,2015,"Nakaegawa, T., Horiuchi, S., Kim, H.",0.29,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042573599&doi=10.3178%2fhrl.9.125&partnerID=40&md5=482faf7366e079d401b93e7029acef5f
,Disruption of hydroecological equilibrium in southwest Amazon mediated by drought,Geophysical Research Letters,2015,"Maeda, E.E., Kim, H., Aragão, L.E.O.C., Famiglietti, J.S., Oki, T.",5.576,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945435283&doi=10.1002%2f2015GL065252&partnerID=40&md5=c77b4fcda542779cbfe7ad47d248591c
